Baiton Hotel,Nine Tree Hotel Dongdaemun,Novotel Amassador Dongdaemun,Dongdaemun DDP,Toyoko Inn (Splaisir Dongdaemun),Toegyero 6(yuk)ga (Skypark Dongdaemun),PJ Hotel (Chungmu-ro stn),G3 Hotel (Namsan Hanok Village),Myeong-dong stn,Bank of Korea (Splaisir Myeong-dong),Seoul stn. (Exit 3),Seoul stn Transfer Centre,Four Points by Sheraton Seoul (Garwol-dong),Sookmyung Women's Univ.,Samgakji stn,Yongsan Post-Office,Sinyongsan stn,Hangang Bridge North End,Incheon Airport Terminal 2,Incheon Airport Terminal 1
11:48,11:50,11:52,11:54,11:56,11:58,11:48,11:50,11:53,11:45,11:48,11:50,11:52,11:54,11:56,11:58,12:00,12:02,13:13,13:21
12:00,12:02,12:04,12:06,12:08,12:10,12:00,12:02,12:05,11:57,12:00,12:02,12:04,12:06,12:08,12:10,12:12,12:14,13:24,13:33
12:12,12:14,12:16,12:18,12:20,12:22,12:12,12:14,12:17,12:09,12:12,12:14,12:16,12:18,12:20,12:22,12:24,12:26,13:35,13:44
12:24,12:26,12:28,12:30,12:32,12:34,12:24,12:26,12:29,12:21,12:24,12:26,12:28,12:30,12:32,12:34,12:36,12:38,13:47,13:55
12:36,12:38,12:40,12:42,12:44,12:46,12:36,12:38,12:41,12:33,12:36,12:38,12:40,12:42,12:44,12:46,12:48,12:50,13:57,14:07
12:48,12:50,12:52,12:54,12:56,12:58,12:48,12:50,12:53,12:45,12:48,12:50,12:52,12:54,12:56,12:58,13:00,13:02,14:07,14:17
13:00,13:02,13:04,13:06,13:08,13:10,13:00,13:02,13:05,12:57,13:00,13:02,13:04,13:06,13:08,13:10,13:12,13:14,14:19,14:27
13:12,13:14,13:16,13:18,13:20,13:22,13:12,13:14,13:17,13:09,13:12,13:14,13:16,13:18,13:20,13:22,13:24,13:26,14:30,14:39
13:24,13:26,13:28,13:30,13:32,13:34,13:24,13:26,13:29,13:21,13:24,13:26,13:28,13:30,13:32,13:34,13:36,13:38,14:42,14:50
13:36,13:38,13:40,13:42,13:44,13:46,13:36,13:38,13:41,13:33,13:36,13:38,13:40,13:42,13:44,13:46,13:48,13:50,14:54,15:02
13:48,13:50,13:52,13:54,13:56,13:58,13:48,13:50,13:53,13:45,13:48,13:50,13:52,13:54,13:56,13:58,14:00,14:02,15:06,15:14
14:00,14:02,14:04,14:06,14:08,14:10,14:00,14:02,14:05,13:57,14:00,14:02,14:04,14:06,14:08,14:10,14:12,14:14,15:18,15:26
14:12,14:14,14:16,14:18,14:20,14:22,14:12,14:14,14:17,14:09,14:12,14:14,14:16,14:18,14:20,14:22,14:24,14:26,15:30,15:38
14:24,14:26,14:28,14:30,14:32,14:34,14:24,14:26,14:29,14:21,14:24,14:26,14:28,14:30,14:32,14:34,14:36,14:38,15:43,15:50
14:35,14:37,14:39,14:41,14:43,14:45,14:36,14:38,14:41,14:33,14:36,14:38,14:40,14:42,14:44,14:46,14:48,14:50,15:56,16:03
14:46,14:48,14:50,14:52,14:54,14:56,14:47,14:49,14:52,14:45,14:48,14:50,14:52,14:54,14:56,14:58,15:00,15:02,16:09,16:16
14:57,14:59,15:01,15:03,15:05,15:07,14:58,15:00,15:03,14:56,14:59,15:01,15:03,15:05,15:07,15:09,15:11,15:13,16:22,16:29
15:08,15:10,15:12,15:14,15:16,15:18,15:09,15:11,15:14,15:07,15:10,15:12,15:14,15:16,15:18,15:20,15:22,15:24,16:34,16:42
15:19,15:21,15:23,15:25,15:27,15:29,15:20,15:22,15:25,15:18,15:21,15:23,15:25,15:27,15:29,15:31,15:33,15:35,16:46,16:54
15:30,15:32,15:34,15:36,15:38,15:40,15:31,15:33,15:36,15:29,15:32,15:34,15:36,15:38,15:40,15:42,15:44,15:46,16:59,17:06
15:42,15:44,15:46,15:48,15:50,15:52,15:42,15:44,15:47,15:40,15:43,15:45,15:47,15:49,15:51,15:53,15:55,15:57,17:13,17:19
15:54,15:56,15:58,16:00,16:02,16:04,15:54,15:56,15:59,15:51,15:54,15:56,15:58,16:00,16:02,16:04,16:06,16:08,17:27,17:33
16:06,16:08,16:10,16:12,16:14,16:16,16:06,16:08,16:11,16:03,16:06,16:08,16:10,16:12,16:14,16:16,16:18,16:20,17:40,17:47
16:18,16:20,16:22,16:24,16:26,16:28,16:18,16:20,16:23,16:15,16:18,16:20,16:22,16:24,16:26,16:28,16:30,16:32,17:54,18:00
